url_path,views_total,views_unique
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Practical%20example.ipynb,20,2
/ascsn/2023-FRIB-TA-Summer-School,9,3
/ascsn/2023-FRIB-TA-Summer-School/tree/main/practical-bayes,8,2
/ascsn/2023-FRIB-TA-Summer-School/blob/main/model-mixing/BMM_Masses.csv,8,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/model-mixing,7,1
/ascsn/2023-FRIB-TA-Summer-School/blob/main/practical-bayes/Calibrating%20Liquid%20Drop%20Challenge.ipynb,6,2
/ascsn/2023-FRIB-TA-Summer-School/tree/main/dimensionality-reduction,6,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/.github/workflows,5,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main,4,1
/ascsn/2023-FRIB-TA-Summer-School/tree/main/model-mixing/Challenge_Project_2,3,1
