time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-14 00:00:00+00:00,28,9,0,0
2026-06-15 00:00:00+00:00,18,7,0,0
2026-06-16 00:00:00+00:00,39,11,0,0
2026-06-17 00:00:00+00:00,20,7,1,1
2026-06-18 00:00:00+00:00,25,10,0,0
2026-06-19 00:00:00+00:00,52,13,0,0
2026-06-20 00:00:00+00:00,47,13,0,0
2026-06-21 00:00:00+00:00,45,12,0,0
2026-06-22 00:00:00+00:00,32,8,27,6
2026-06-23 00:00:00+00:00,31,7,6,3
2026-06-24 00:00:00+00:00,35,10,0,0
2026-06-25 00:00:00+00:00,38,8,2,2
2026-06-26 00:00:00+00:00,28,11,0,0
2026-06-27 00:00:00+00:00,17,8,2,2
