Z,N,BE,BE_sd
8,8,126.73026436363635,2.6846851310453936
8,9,131.7366141818182,2.781417761961254
8,10,141.13028663636362,3.12040618160983
8,11,145.1242463636364,3.1656020604697077
8,12,153.20621990909092,3.364174471481839
8,13,156.25089863636364,3.509494339399967
8,14,163.22919718181822,3.884875601183591
8,15,165.0935803636364,3.9496164099145457
8,16,170.00821336363637,4.476578705467298
8,17,169.1070240909091,4.654017209506419
8,18,171.8770820909091,5.184364881134981
8,19,169.87844636363639,5.238053258191144
8,20,171.54617390909087,5.34327548994189
8,21,168.8053718181818,5.309112181860294
8,22,169.144299,5.645135714015793
9,8,128.19296436363638,2.839718779167129
9,9,135.628717,2.6912170807523146
9,10,146.98886418181817,2.7763194081754996
9,11,153.42088127272729,2.8078331728826775
9,12,162.99225863636363,3.034939924696481
9,13,167.59987036363634,3.099366829553584
9,14,175.68209863636363,3.5183545695084595
9,15,178.9416799090909,3.6407677269382765
9,16,184.95036418181817,4.038905358258444
9,17,185.40900790909092,4.073833127344626
9,18,188.9561759090909,4.496517392063493
9,19,188.4815261818182,4.505247150417382
9,20,191.00600563636362,4.811127112650947
9,21,189.122929,4.806029123748606
9,22,190.25560490909092,5.178669787715653
9,23,188.31407000000002,5.317372582020021
9,24,189.00219654545455,5.749653173835785
9,25,186.75312563636362,5.858157295804289
10,8,133.93673045454545,3.075145719759354
10,9,143.41165272727275,2.630815137971308
10,10,157.79452818181818,3.125579275122994
10,11,165.43681445454547,2.4896461345707888
10,12,176.59214509090907,2.572788998897208
10,13,182.33812099999997,2.646864569613791
10,14,191.83967700000002,3.191218280873934
10,15,196.09009636363635,3.1840815651589134
10,16,203.37058218181818,3.670267411395324
10,17,204.93485200000003,3.686244045326199
10,18,209.66568127272728,4.082422068488878
10,19,210.2046562727273,4.08768827977889
10,20,213.97237454545456,4.245000325790972
10,21,212.74528581818183,4.519866992346246
10,22,214.95136672727276,4.85772784409146
10,23,214.09872636363636,5.059778606054091
10,24,216.02882536363634,5.515472004760139
10,25,214.30084045454544,5.739037792558326
10,26,215.25069863636364,6.235221531085344
10,27,213.34132072727272,6.334928151317408
11,8,133.9187231818182,2.965892074314672
11,9,145.55514172727274,2.679293311494098
11,10,161.133027,2.6010257712015874
11,11,171.0783470909091,2.6496407914103615
11,12,183.68966172727272,2.846804354574693
11,13,191.23746027272728,2.5856702837099372
11,14,201.71263063636368,2.9156565659408655
11,15,207.28805872727273,3.0190215323114598
11,16,215.71780381818186,3.4928929886459463
11,17,218.7249639090909,3.420341812981162
11,18,224.62984263636363,3.7548981264075874
11,19,226.40996218181817,3.7453520940208493
11,20,231.1623645454546,3.9391296342676907
11,21,231.20641027272723,4.156941751599603
11,22,234.4597441818182,4.474012621231606
11,23,234.8054021818182,4.6486563003971755
11,24,237.67941754545456,5.0465762748818435
11,25,236.96981218181818,5.243690841146681
11,26,238.75843309090908,5.724066322020742
11,27,237.6227821818182,5.860838709010738
11,28,238.707799,6.308726581086738
11,29,237.0083849090909,6.451972399937858
12,8,137.46457690909094,3.262319554354213
12,9,150.73990118181817,2.772303226920097
12,10,167.92291763636365,2.5370725418238758
12,11,179.3522721818182,2.717051969569071
12,12,194.20201745454548,3.4295096480627203
12,13,203.13014436363636,2.540784722905356
12,14,215.10047772727273,2.913554624196022
12,15,221.78385727272732,2.8850637978306186
12,16,231.5575269090909,3.3298840168451704
12,17,235.59452045454546,3.154498056245095
12,18,242.79272036363636,3.398346392560018
12,19,245.54550436363635,3.3413349262043273
12,20,251.51444990909093,3.431565834573617
12,21,252.532381,3.6977081332856674
12,22,256.7653085454545,4.105475808013953
12,23,257.88878227272727,4.278913258111345
12,24,261.85713009090915,4.656585339588648
12,25,261.96514809090905,4.848541169644479
12,26,264.76494709090906,5.306524383541793
12,27,264.081385,5.690519809011575
12,28,266.0962727272727,6.02134716089939
12,29,264.8105919090909,6.13940114181479
12,30,266.1756108181818,6.542465048823199
12,31,264.91054127272724,6.723984821208961
13,8,135.58188345454548,3.6794529314442497
13,9,150.42830163636364,2.975129278795737
13,10,168.63285445454545,2.7242436792827616
13,11,181.9099530909091,2.5285670640167544
13,12,198.07829527272727,2.5801454524217524
13,13,208.80708536363636,2.781924518577317
13,14,222.67809463636368,2.7148237237957566
13,15,230.66167663636364,2.7783148223453145
13,16,241.43252654545458,3.152138806216453
13,17,246.9535986363637,2.949120178108284
13,18,255.38079963636366,3.1971669709100135
13,19,259.3800514545455,3.046050408503316
13,20,266.34826954545457,3.0788293173963077
13,21,268.36392345454544,3.347129638176438
13,22,273.52859827272727,3.6971231080081934
13,23,275.4843482727273,3.8386605296883243
13,24,280.17663554545453,4.171869850636981
13,25,281.25618281818186,4.3722744119350825
13,26,284.89192263636363,4.822239404905188
13,27,285.3238361818182,5.104220385993846
13,28,288.31473009090905,5.410806195292932
13,29,287.97772,5.591199832772973
13,30,290.01271145454547,6.075313105945148
13,31,289.4801913636364,6.261752976439937
13,32,291.0535323636364,6.860079748934515
13,33,289.87513290909095,6.8349182711518415
13,34,290.789866090909,7.290945250931653
13,35,288.32814145454546,7.093724805998713
14,8,137.45210654545457,4.185720410823173
14,9,153.51183881818181,3.3864605149722555
14,10,173.05297727272725,3.185071242239391
14,11,187.34998627272728,2.8967439924277443
14,12,205.0059899090909,2.8278443850954544
14,13,217.61985090909093,2.6485192573058076
14,14,233.46284945454542,2.7828380071006786
14,15,242.55039663636362,2.8167172574623165
14,16,254.6714663636364,3.1597530185173768
14,17,261.2786152727273,2.8044214232496287
14,18,270.89049018181817,2.9346405912628453
14,19,276.00542827272733,2.7378188386084785
14,20,284.30482890909093,2.703900998629355
14,21,287.0897469090909,2.9962131871701883
14,22,293.172154909091,3.3449698471743545
14,23,295.50945618181817,3.522669448448602
14,24,301.0917605454545,3.809503538972827
14,25,302.8680274545454,4.001127817506369
14,26,307.5383078181818,4.448381311356978
14,27,309.04693436363635,4.573394400093098
14,28,313.30330972727273,4.891115124778473
14,29,313.6202006363636,5.126422953887507
14,30,316.4151855454545,5.6564325654984895
14,31,316.3945408181818,5.888405255780339
14,32,318.7461858181818,6.437207037445673
14,33,317.8306830909091,6.47313491401665
14,34,319.22287727272726,6.905584352360589
14,35,317.0727860909091,6.825481315554644
15,8,133.9238860909091,4.572731072602838
15,9,151.19413381818183,3.607781314417764
15,10,171.78308063636362,3.3578419861743103
15,11,187.2374317272727,3.091782538649834
15,12,206.08710581818184,2.90995821449328
15,13,220.03450318181822,2.747720521195002
15,14,236.94529427272727,2.7764362397457294
15,15,247.91254718181818,2.925395101093217
15,16,261.2573017272727,2.938450773506988
15,17,269.0533156363636,2.622430198393652
15,18,279.7980881818181,2.719723807157105
