N,Z,rate
0,1,7.29E+09
1,1,6.35E+10
2,1,5.41E+10
1,2,6.88E+10
2,2,2.20E+11
4,2,3.98E+10
6,2,6.25E+08
3,3,5.12E+11
4,3,3.39E+11
5,3,9.79E+10
6,3,1.83E+10
8,3,2.01E+08
3,4,3.84E+11
5,4,7.40E+11
6,4,2.30E+11
7,4,5.68E+10
8,4,7.81E+09
10,4,8.78E+07
3,5,6.86E+10
5,5,2.00E+12
6,5,1.54E+12
7,5,6.23E+11
8,5,1.83E+11
9,5,3.79E+10
10,5,4.93E+09
12,5,2960000
14,5,368
3,6,6.97E+09
4,6,1.21E+11
5,6,1.23E+12
6,6,3.51E+12
7,6,2.75E+12
8,6,1.63E+12
9,6,6.18E+11
10,6,1.70E+11
11,6,1.99E+09
12,6,2.06E+08
13,6,2180000
14,6,28000
16,6,103
5,7,1.90E+11
6,7,2.09E+12
7,7,5.95E+12
8,7,4.59E+12
9,7,4.02E+12
10,7,2.03E+12
11,7,5.62E+10
12,7,8.08E+09
13,7,8.20E+07
14,7,1710000
15,7,107000
16,7,7230
5,8,1.61E+10
6,8,3.51E+11
7,8,3.80E+12
8,8,3.32E+14
9,8,6.28E+12
10,8,3.32E+14
11,8,6.70E+11
12,8,1.80E+11
13,8,1.86E+09
14,8,7.10E+07
15,8,5500000
16,8,436000
8,9,1.58E+12
9,9,4.73E+12
10,9,3.71E+12
11,9,3.43E+12
12,9,1.66E+12
13,9,1.78E+10
14,9,1.96E+09
15,9,1.94E+08
16,9,1.99E+07
17,9,1800000
18,9,148000
20,9,885
22,9,6.01
7,10,1.10E+10
8,10,2.55E+11
9,10,2.84E+12
10,10,2.75E+14
11,10,4.77E+12
12,10,2.70E+14
13,10,1.54E+11
14,10,3.22E+10
15,10,4.78E+09
16,10,6.06E+08
17,10,7.21E+07
18,10,7340000
19,10,620000
20,10,50000
21,10,2860
22,10,335
24,10,5.8
9,11,3.12E+10
10,11,3.57E+11
11,11,1.39E+12
12,11,1.60E+12
13,11,8.08E+11
14,11,2.84E+11
15,11,6.97E+10
16,11,1.19E+10
17,11,1.89E+09
18,11,2.61E+08
19,11,2.92E+07
20,11,2980000
21,11,143000
22,11,15700
23,11,1790
24,11,259
26,11,7.02
8,12,8.59E+07
9,12,1.70E+09
10,12,3.60E+10
11,12,5.00E+11
12,12,1.91E+12
13,12,2.04E+12
14,12,1.31E+12
15,12,5.51E+11
16,12,1.38E+11
17,12,3.39E+10
18,12,5.98E+09
19,12,1.03E+09
20,12,1.37E+08
21,12,6080000
